market,strategy,venue,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,pair_probability_top1,東京,532,532,1.0,75,14.097744360902256,75.05639097744361,72.63157894736842,1290.0,0.032306536438767845
jra,pair_probability_top1,福島,229,229,1.0,30,13.100436681222707,91.57205240174673,84.8471615720524,1540.0,0.07343824511206486
jra,pair_probability_top1,阪神,456,456,1.0,62,13.596491228070176,81.51315789473684,77.71929824561404,1730.0,0.04654291094969061
jra,pair_probability_top2,中京,776,388,2.0,111,14.304123711340205,109.78092783505154,106.54639175257732,2510.0,0.029463552060100952
jra,pair_probability_top2,中山,972,486,2.0,95,9.77366255144033,63.73456790123457,61.54320987654321,2130.0,0.03438256658595642
jra,pair_probability_top2,京都,914,457,2.0,106,11.597374179431071,88.09628008752735,82.3741794310722,5230.0,0.06495280675608545
jra,pair_probability_top2,函館,288,144,2.0,40,13.88888888888889,97.04861111111111,87.88194444444444,2640.0,0.09445438282647585
jra,pair_probability_top2,小倉,440,220,2.0,48,10.909090909090908,84.72727272727273,77.1590909090909,3330.0,0.08932403433476395
jra,pair_probability_top2,新潟,542,271,2.0,38,7.011070110701106,51.07011070110701,47.97047970479705,1680.0,0.06069364161849711
jra,pair_probability_top2,札幌,336,168,2.0,42,12.5,96.75595238095238,90.35714285714286,2150.0,0.06613349738541988
jra,pair_probability_top2,東京,1064,532,2.0,148,13.909774436090224,82.93233082706767,81.2406015037594,1800.0,0.020398912058023574
jra,pair_probability_top2,福島,458,229,2.0,51,11.135371179039302,77.5764192139738,74.21397379912663,1540.0,0.043343653250773995
jra,pair_probability_top2,阪神,912,456,2.0,119,13.048245614035087,84.08991228070175,81.37061403508773,2480.0,0.032337984091798146
jra,pair_probability_top3,中京,1160,388,2.9896907216494846,137,11.810344827586206,97.66379310344827,95.5,2510.0,0.0221555300556095
jra,pair_probability_top3,中山,1458,486,3.0,128,8.77914951989026,65.1440329218107,62.85322359396434,3340.0,0.03516529795746473
jra,pair_probability_top3,京都,1369,457,2.9956236323851204,148,10.81081081081081,85.36888239590942,81.54857560262965,5230.0,0.044750577564815604
jra,pair_probability_top3,函館,432,144,3.0,52,12.037037037037036,86.68981481481481,80.57870370370371,2640.0,0.07049399198931909
jra,pair_probability_top3,小倉,660,220,3.0,66,10.0,97.83333333333333,91.12121212121212,4430.0,0.06860771256001238
jra,pair_probability_top3,新潟,813,271,3.0,64,7.872078720787208,63.456334563345635,60.2460024600246,2610.0,0.05059119984493119
jra,pair_probability_top3,札幌,504,168,3.0,67,13.293650793650794,111.32936507936508,105.17857142857143,3100.0,0.055248618784530384
jra,pair_probability_top3,東京,1596,532,3.0,202,12.656641604010025,84.77443609022556,82.91353383458646,2970.0,0.02195121951219512
jra,pair_probability_top3,福島,687,229,3.0,66,9.606986899563319,77.27802037845706,73.2896652110626,2740.0,0.051610472782068186
jra,pair_probability_top3,阪神,1367,456,2.9978070175438596,154,11.265544989027067,77.90782735918069,76.07900512070226,2500.0,0.023474178403755867
jra,independent_product_top1,中京,388,388,1.0,53,13.65979381443299,134.7164948453608,125.20618556701031,3690.0,0.07059498756456858
jra,independent_product_top1,中山,486,486,1.0,47,9.670781893004115,63.1275720164609,58.74485596707819,2130.0,0.06942633637548892
jra,independent_product_top1,京都,457,457,1.0,59,12.910284463894966,118.99343544857769,110.96280087527353,3670.0,0.06748804707613093
jra,independent_product_top1,函館,144,144,1.0,22,15.277777777777779,122.43055555555556,104.09722222222223,2640.0,0.1497447532614861
jra,independent_product_top1,小倉,220,220,1.0,28,12.727272727272727,128.86363636363637,108.72727272727273,4430.0,0.1562610229276896
jra,independent_product_top1,新潟,271,271,1.0,17,6.273062730627306,48.00738007380074,42.61992619926199,1460.0,0.11222136817832437
