sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
31,R031,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.4,2,1.1,0.4,,,単勝,8,0,0,0,4,4,2,50.0,0.15,330,82.5,-70,1,12.5,1,2,0.0,0,2,90.0,0.0,150.0,110.0,180,54.55,2,2024-12-02,202446120207,50.0,-150,fixed_predeclared,76.92,5.58,True,False
31,R031,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.4,2,1.1,0.4,,,複勝,8,0,0,0,4,4,4,100.0,0.5101,520,130.0,120,3,37.5,3,0,0.0,0,2,110.0,110.0,190.0,0.0,190,36.54,4,2025-05-14,202547051410,110.0,30,fixed_predeclared,83.6,46.4,True,False
32,R032,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.2,2,1.15,0.2,,,単勝,8,8,0,0,55,55,15,27.27,0.1728,7480,136.0,1980,3,37.5,3,5,7.0,5,9,78.33,0.0,375.0,189.94,2450,32.75,1,2024-09-24,202443092406,93.15,-370,fixed_predeclared,76.92,59.08,True,False
32,R032,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.2,2,1.15,0.2,,,複勝,8,8,0,0,55,55,39,70.91,0.5786,7980,145.09,2480,6,75.0,6,2,7.0,5,9,150.83,90.0,211.25,58.41,1090,13.66,1,2024-09-24,202443092406,127.59,1490,fixed_predeclared,83.6,61.49,False,False
33,R033,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.25,2,1.15,0.25,,,単勝,8,8,0,0,38,38,13,34.21,0.2121,6770,178.16,2970,4,50.0,4,4,5.0,3,6,106.5,0.0,532.0,227.15,2450,36.19,1,2024-09-24,202443092406,116.76,620,fixed_predeclared,76.92,101.24,True,False
33,R033,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.25,2,1.15,0.25,,,複勝,8,8,0,0,38,38,30,78.95,0.6365,6290,165.53,2490,8,100.0,7,0,5.0,3,6,130.83,100.0,304.0,71.61,1090,17.33,1,2024-09-24,202443092406,140.54,1500,fixed_predeclared,83.6,81.93,False,False
34,R034,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.3,2,1.15,0.3,,,単勝,8,4,0,0,18,18,6,33.33,0.1628,2210,122.78,410,2,25.0,2,5,2.0,0,4,60.0,0.0,595.0,121.0,920,41.63,6,2025-10-25,202555102510,75.88,-410,fixed_predeclared,76.92,45.86,True,False
34,R034,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.3,2,1.15,0.3,,,複勝,8,4,0,0,18,18,15,83.33,0.6078,2390,132.78,590,5,62.5,5,2,2.0,0,4,145.0,73.33,190.0,55.5,270,11.3,3,2025-03-16,202554031603,124.71,420,fixed_predeclared,83.6,49.18,False,False
35,R035,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.35,2,1.15,0.35,,,単勝,8,0,0,0,9,9,2,22.22,0.0632,330,36.67,-570,1,12.5,1,5,1.0,0,3,0.0,0.0,150.0,105.0,180,54.55,2,2024-12-02,202446120207,18.75,-650,fixed_predeclared,76.92,-40.25,True,False
35,R035,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.35,2,1.15,0.35,,,複勝,8,0,0,0,9,9,7,77.78,0.4526,1000,111.11,100,4,50.0,4,2,1.0,0,3,135.0,0.0,190.0,17.5,190,19.0,4,2025-05-14,202547051410,101.25,10,fixed_predeclared,83.6,27.51,False,False
36,R036,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.4,2,1.15,0.4,,,単勝,8,0,0,0,4,4,2,50.0,0.15,330,82.5,-70,1,12.5,1,2,0.0,0,2,90.0,0.0,150.0,100.0,180,54.55,2,2024-12-02,202446120207,50.0,-150,fixed_predeclared,76.92,5.58,True,False
36,R036,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.4,2,1.15,0.4,,,複勝,8,0,0,0,4,4,4,100.0,0.5101,520,130.0,120,3,37.5,3,0,0.0,0,2,110.0,110.0,190.0,10.0,190,36.54,4,2025-05-14,202547051410,110.0,30,fixed_predeclared,83.6,46.4,True,False
37,R037,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.2,2,1.2,0.2,,,単勝,8,8,0,0,50,50,13,26.0,0.1587,7070,141.4,2070,3,37.5,3,5,6.0,4,8,64.16,0.0,388.33,198.63,2450,34.65,1,2024-09-24,202443092406,94.29,-280,fixed_predeclared,76.92,64.48,True,False
37,R037,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.2,2,1.2,0.2,,,複勝,8,8,0,0,50,50,36,72.0,0.5833,7580,151.6,2580,6,75.0,6,2,6.0,4,8,151.67,90.0,211.25,63.48,1090,14.38,1,2024-09-24,202443092406,132.45,1590,fixed_predeclared,83.6,68.0,False,False
38,R038,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.25,2,1.2,0.25,,,単勝,8,6,0,0,35,35,11,31.43,0.1855,6360,181.71,2860,4,50.0,4,4,5.0,3,5,92.5,0.0,532.0,228.93,2450,38.52,1,2024-09-24,202443092406,115.0,510,fixed_predeclared,76.92,104.79,True,False
38,R038,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.25,2,1.2,0.25,,,複勝,8,6,0,0,35,35,28,80.0,0.6411,6030,172.29,2530,8,100.0,7,0,5.0,3,5,133.0,100.0,304.0,66.94,1090,18.08,1,2024-09-24,202443092406,145.29,1540,fixed_predeclared,83.6,88.69,False,False
39,R039,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.3,2,1.2,0.3,,,単勝,8,3,0,0,16,16,5,31.25,0.1416,2060,128.75,460,2,25.0,2,5,2.0,0,4,63.33,0.0,595.0,91.0,920,44.66,6,2025-10-25,202555102510,76.0,-360,fixed_predeclared,76.92,51.83,True,False
39,R039,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.3,2,1.2,0.3,,,複勝,8,3,0,0,16,16,14,87.5,0.6398,2280,142.5,680,6,75.0,6,1,2.0,0,4,145.0,95.0,190.0,45.83,270,11.84,3,2025-03-16,202554031603,134.0,510,fixed_predeclared,83.6,58.9,False,False
40,R040,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.35,2,1.2,0.35,,,単勝,8,0,0,0,7,7,1,14.29,0.0257,180,25.71,-520,0,0.0,0,5,1.0,0,2,0.0,0.0,90.0,181.0,180,100.0,2,2024-12-02,202446120207,0.0,-600,fixed_predeclared,76.92,-51.21,True,False
40,R040,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.35,2,1.2,0.35,,,複勝,8,0,0,0,7,7,6,85.71,0.4869,890,127.14,190,4,50.0,4,1,1.0,0,2,160.0,0.0,190.0,33.0,190,21.35,4,2025-05-14,202547051410,116.67,100,fixed_predeclared,83.6,43.54,True,False
41,R041,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.4,2,1.2,0.4,,,単勝,8,0,0,0,3,3,1,33.33,0.0615,180,60.0,-120,0,0.0,0,2,0.0,0,2,45.0,0.0,90.0,95.0,180,100.0,2,2024-12-02,202446120207,0.0,-200,fixed_predeclared,76.92,-16.92,True,False
41,R041,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.4,2,1.2,0.4,,,複勝,8,0,0,0,3,3,3,100.0,0.4385,410,136.67,110,2,25.0,2,0,0.0,0,2,150.0,110.0,190.0,45.0,190,46.34,4,2025-05-14,202547051410,110.0,20,fixed_predeclared,83.6,53.07,True,False
42,R042,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.2,2,1.25,0.2,,,単勝,8,8,0,0,41,41,11,26.83,0.1569,6620,161.46,2520,3,37.5,3,5,5.5,2,7,55.23,0.0,466.0,245.13,2450,37.01,1,2024-09-24,202443092406,104.25,170,fixed_predeclared,76.92,84.54,True,False
42,R042,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.2,2,1.25,0.2,,,複勝,8,8,0,0,41,41,31,75.61,0.6066,6770,165.12,2670,8,100.0,7,0,5.5,2,7,151.67,100.0,241.43,49.93,1090,16.1,1,2024-09-24,202443092406,142.0,1680,fixed_predeclared,83.6,81.52,False,False
43,R043,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.25,2,1.25,0.25,,,単勝,8,6,0,0,30,30,9,30.0,0.1666,5910,197.0,2910,4,50.0,4,4,4.0,1,5,81.5,0.0,600.0,290.47,2450,41.46,1,2024-09-24,202443092406,119.31,560,fixed_predeclared,76.92,120.08,True,False
43,R043,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.25,2,1.25,0.25,,,複勝,8,6,0,0,30,30,23,76.67,0.5907,5220,174.0,2220,7,87.5,7,1,4.0,1,5,140.5,92.5,450.0,65.42,1090,20.88,1,2024-09-24,202443092406,142.41,1230,fixed_predeclared,83.6,90.4,True,False
44,R044,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.3,2,1.25,0.3,,,単勝,8,0,0,0,14,14,4,28.57,0.1172,1880,134.29,480,2,25.0,2,4,2.0,0,4,31.66,0.0,595.0,263.96,920,48.94,6,2025-10-25,202555102510,73.85,-340,fixed_predeclared,76.92,57.37,True,False
44,R044,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.3,2,1.25,0.3,,,複勝,8,0,0,0,14,14,12,85.71,0.6006,1990,142.14,590,5,62.5,5,1,2.0,0,4,133.75,95.0,190.0,43.75,270,13.57,3,2025-03-16,202554031603,132.31,420,fixed_predeclared,83.6,58.54,False,False
45,R045,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.35,2,1.25,0.35,,,単勝,8,0,0,0,5,5,0,0.0,0.0,0,0.0,-500,0,0.0,0,4,0.5,0,2,0.0,0.0,0.0,407.25,0,,1,2024-09-23,202446092301,0.0,-400,fixed_predeclared,76.92,-76.92,False,False
45,R045,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.35,2,1.25,0.35,,,複勝,8,0,0,0,5,5,4,80.0,0.3755,600,120.0,100,3,37.5,3,1,0.5,0,2,140.0,0.0,160.0,21.75,180,30.0,5,2025-07-22,202542072206,105.0,20,fixed_predeclared,83.6,36.4,True,False
