sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
28,R028,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.25,2,1.1,0.25,,,複勝,8,0,0,0,6,6,5,83.33,0.4365,1130,188.33,530,3,37.5,3,1,0.5,0,2,220.0,60.0,360.0,150.0,360,31.86,7.0,2026-02-07,202610010504,154.0,270,fixed_predeclared,83.15,105.18,True,False
29,R029,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.3,2,1.1,0.3,,,単勝,8,0,0,0,3,3,2,66.67,0.2077,620,206.67,320,2,25.0,2,0,0.0,0,2,237.5,145.0,330.0,,330,53.23,4.0,2025-05-11,202505020603,145.0,90,fixed_predeclared,76.48,130.19,True,False
29,R029,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.3,2,1.1,0.3,,,複勝,8,0,0,0,3,3,2,66.67,0.2077,350,116.67,50,1,12.5,1,1,0.0,0,2,145.0,60.0,230.0,,230,65.71,4.0,2025-05-11,202505020603,60.0,-80,fixed_predeclared,83.15,33.52,True,False
30,R030,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.35,2,1.1,0.35,,,単勝,8,0,0,0,3,3,2,66.67,0.2077,620,206.67,320,2,25.0,2,0,0.0,0,2,237.5,145.0,330.0,,330,53.23,4.0,2025-05-11,202505020603,145.0,90,fixed_predeclared,76.48,130.19,True,False
30,R030,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.35,2,1.1,0.35,,,複勝,8,0,0,0,3,3,2,66.67,0.2077,350,116.67,50,1,12.5,1,1,0.0,0,2,145.0,60.0,230.0,,230,65.71,4.0,2025-05-11,202505020603,60.0,-80,fixed_predeclared,83.15,33.52,True,False
31,R031,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.4,2,1.1,0.4,,,単勝,8,0,0,0,2,2,1,50.0,0.0945,290,145.0,90,1,12.5,1,0,0.0,0,2,145.0,145.0,145.0,,290,100.0,8.0,2026-05-30,202605021104,0.0,-100,fixed_predeclared,76.48,68.52,True,False
31,R031,D,EV+AI勝率,EV > 1.1 AND AI勝率 >= 0.4,2,1.1,0.4,,,複勝,8,0,0,0,2,2,1,50.0,0.0945,120,60.0,-80,0,0.0,0,1,0.0,0,2,60.0,60.0,60.0,,120,100.0,8.0,2026-05-30,202605021104,0.0,-100,fixed_predeclared,83.15,-23.15,True,False
32,R032,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.2,2,1.15,0.2,,,単勝,8,0,0,0,7,7,3,42.86,0.1582,1960,280.0,1260,3,37.5,3,3,1.0,0,2,165.0,0.0,1100.0,290.0,1100,56.12,7.0,2026-02-07,202610010504,143.33,260,fixed_predeclared,76.48,203.52,True,False
32,R032,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.2,2,1.15,0.2,,,複勝,8,0,0,0,7,7,6,85.71,0.4869,1680,240.0,980,5,62.5,5,1,1.0,0,2,220.0,0.0,500.0,136.67,500,29.76,2.0,2024-12-08,202407040403,196.67,580,fixed_predeclared,83.15,156.85,True,False
33,R033,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.25,2,1.15,0.25,,,単勝,8,0,0,0,5,5,2,40.0,0.1176,1430,286.0,930,2,25.0,2,2,0.5,0,2,165.0,0.0,1100.0,695.0,1100,76.92,7.0,2026-02-07,202610010504,82.5,-70,fixed_predeclared,76.48,209.52,True,False
33,R033,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.25,2,1.15,0.25,,,複勝,8,0,0,0,5,5,4,80.0,0.3755,1010,202.0,510,3,37.5,3,1,0.5,0,2,220.0,0.0,360.0,230.0,360,35.64,7.0,2026-02-07,202610010504,162.5,250,fixed_predeclared,83.15,118.85,True,False
34,R034,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.3,2,1.15,0.3,,,単勝,8,0,0,0,2,2,1,50.0,0.0945,330,165.0,130,1,12.5,1,1,0.0,0,1,165.0,0.0,330.0,,330,100.0,4.0,2025-05-11,202505020603,0.0,-100,fixed_predeclared,76.48,88.52,True,False
34,R034,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.3,2,1.15,0.3,,,複勝,8,0,0,0,2,2,1,50.0,0.0945,230,115.0,30,1,12.5,1,1,0.0,0,1,115.0,0.0,230.0,,230,100.0,4.0,2025-05-11,202505020603,0.0,-100,fixed_predeclared,83.15,31.85,True,False
